rank,code,name,market,mktcap,sector,close,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,dryup_count,rebreakout,foreign_consec_buy,foreign_net_5d,inst_net_5d,trigger_score,liq_score,vol_score,momentum_score,news_score,news_summary,keywords,news_count,scan_date,chunk
68,394280,오픈엣지테크놀로지,KOSDAQ,296039550180,기타,13420.0,18.0,0.0,12.0,0,10.0,40.0,13000.0,3.129657228017884,100.0,52.08813453324793,-,13486.0,12457.8,5,False,0,-701310490.0,-42187580.0,0.0,12.0,12.0,0,0,,,0,2026-01-18 23:11,2
69,376270,HEM파마,KOSDAQ,380791076400,기타,53200.0,24.0,0.0,0.0,7,9.0,40.0,48944.0,8.0,75.63025210084034,35.9523524960797,-,48237.5,43495.0,2,False,0,462932000.0,849569300.0,0.0,0.0,0.0,0,0,,,0,2026-01-18 23:12,2
70,007160,사조산업,KOSPI,271000000000,기타,54200.0,20.0,0.0,5.0,5,10.0,40.0,52200.0,3.6900369003690034,46.21848739495798,52.65244187593668,-,56045.0,53852.0,4,False,1,3246500.0,-1192900.0,0.0,5.0,5.0,0,0,,,0,2026-01-18 23:11,2
71,482630,삼양엔씨켐,KOSDAQ,269225844000,기타,24600.0,25.0,0.0,0.0,5,10.0,40.0,23450.0,4.67479674796748,100.0,61.8591579926478,-,23839.0,21166.4,0,False,1,1491485550.0,-123405650.0,0.0,0.0,0.0,0,0,,,0,2026-01-18 23:11,2
72,450950,아스테라시스,KOSDAQ,480465848520,기타,12810.0,15.0,5.0,5.0,4,10.0,39.0,12230.0,4.5277127244340365,26.89075630252101,28.554996873744766,-,12684.5,13479.2,3,False,0,-1091905090.0,5790630.0,5.0,5.0,5.0,0,0,,,0,2026-01-18 23:11,2
73,253590,네오셈,KOSDAQ,487825103680,기타,11120.0,25.0,0.0,0.0,4,10.0,39.0,10590.0,4.766187050359712,42.857142857142854,47.103329439986325,-,10680.5,10579.4,1,False,0,-1830966360.0,863115550.0,0.0,0.0,0.0,0,0,,,0,2026-01-18 23:11,2
74,033530,SJG세종,KOSPI,282104544540,기타,10140.0,23.0,5.0,0.0,4,7.0,39.0,9160.0,9.664694280078894,23.529411764705884,28.6342531709983,-,10047.0,9344.8,2,False,0,-319638570.0,92419620.0,5.0,0.0,0.0,0,0,,,0,2026-01-18 23:11,2
75,210980,SK디앤디,KOSPI,234951360840,기타,12620.0,15.0,5.0,5.0,4,10.0,39.0,12610.0,0.07923930269413629,8.403361344537815,52.15412593835352,-,12832.0,12725.4,3,False,0,-329313530.0,503460090.0,5.0,5.0,5.0,0,0,,,0,2026-01-18 23:11,2
76,041830,인바디,KOSDAQ,409818812800,기타,30400.0,14.0,0.0,10.0,5,10.0,39.0,29550.0,2.7960526315789473,55.46218487394958,34.33141567375842,-,31692.5,30549.0,4,False,1,99217850.0,-38061650.0,0.0,10.0,10.0,0,0,,,0,2026-01-18 23:11,2
77,338840,와이바이오로직스,KOSDAQ,394630106000,기타,26000.0,20.0,5.0,0.0,5,9.0,39.0,23920.0,8.0,21.008403361344538,15.340020602496484,-,24487.5,24341.0,2,False,1,4451755500.0,-1435926700.0,5.0,0.0,0.0,0,0,,,0,2026-01-18 23:11,2
78,092870,엑시콘,KOSDAQ,212727991100,기타,16300.0,24.0,0.0,0.0,4,10.0,38.0,15540.0,4.662576687116564,38.65546218487395,35.312268610770296,-,15694.5,15350.2,0,False,0,-2154819750.0,1244659740.0,0.0,0.0,0.0,0,0,,,0,2026-01-18 23:11,2
79,110990,디아이티,KOSDAQ,338688000000,기타,17920.0,25.0,0.0,0.0,4,9.0,38.0,16870.0,5.859375,61.34453781512605,46.60252068825689,-,16185.0,15202.8,0,False,0,-595571870.0,998124050.0,0.0,0.0,0.0,0,0,,,0,2026-01-18 23:11,2
80,001460,BYC,KOSPI,265461375000,기타,42500.0,22.0,0.0,7.0,4,5.0,38.0,38100.0,10.352941176470589,71.42857142857143,24.62498110329693,-,42047.5,41487.0,5,False,0,-93515400.0,494041950.0,0.0,7.0,7.0,0,0,,,0,2026-01-18 23:11,2
81,327260,RF머트리얼즈,KOSDAQ,201132559350,기타,23850.0,25.0,0.0,0.0,4,9.0,38.0,22200.0,6.918238993710692,50.42016806722689,45.98579635234915,-,23815.0,20751.2,0,False,0,-2909088800.0,2438706800.0,0.0,0.0,0.0,0,0,,,0,2026-01-18 23:11,2
82,067080,대화제약,KOSDAQ,304940727000,기타,16380.0,11.0,0.0,12.0,4,10.0,37.0,15990.0,2.380952380952381,78.15126050420169,37.68647035516454,-,17137.0,17496.4,6,False,0,-536549290.0,430644620.0,0.0,12.0,12.0,0,0,,,0,2026-01-18 23:12,2
83,112290,와이씨켐,KOSDAQ,208782754250,기타,20650.0,9.0,5.0,8.0,5,10.0,37.0,19710.0,4.552058111380145,33.61344537815126,36.39649404647066,C,20498.5,20848.6,0,False,2,47623610.0,-165497920.0,5.0,8.0,8.0,0,0,,,0,2026-01-18 23:12,2
84,000650,천일고속,KOSPI,410186140000,기타,287000.0,15.0,0.0,12.0,5,5.0,37.0,248000.0,13.588850174216027,73.10924369747899,11.532659056988235,-,325475.0,248937.0,8,False,1,200803500.0,-22258500.0,0.0,12.0,12.0,0,0,,,0,2026-01-18 23:12,2
85,200710,에이디테크놀로지,KOSDAQ,432794468400,기타,32200.0,24.0,0.0,0.0,4,9.0,37.0,30250.0,6.055900621118012,76.47058823529412,37.92687221566455,-,31065.0,27824.0,2,False,0,-15124879100.0,253705450.0,0.0,0.0,0.0,0,0,,,0,2026-01-18 23:12,2
86,183190,아세아시멘트,KOSPI,438700577040,기타,11880.0,7.0,5.0,12.0,4,9.0,37.0,11220.0,5.555555555555555,11.764705882352942,37.78088304388275,-,12149.0,12099.0,8,False,0,-594812650.0,385705880.0,5.0,12.0,12.0,0,0,,,0,2026-01-18 23:12,2
87,016610,DB증권,KOSPI,486860081830,기타,11470.0,24.0,0.0,0.0,2,10.0,36.0,10940.0,4.620749782040105,33.61344537815126,30.424285897312625,-,11236.5,10707.4,0,False,1,-453293520.0,-276691110.0,0.0,0.0,0.0,0,0,,,0,2026-01-18 23:12,2
88,368770,파이버프로,KOSDAQ,427104925000,기타,13000.0,25.0,0.0,0.0,2,9.0,36.0,12200.0,6.153846153846154,98.31932773109244,62.68936291680383,-,12245.0,8983.8,1,False,1,-2839362430.0,-2468426280.0,0.0,0.0,0.0,0,0,,,0,2026-01-18 23:11,2
89,051370,인터플렉스,KOSDAQ,244471906560,기타,10480.0,25.0,0.0,0.0,4,7.0,36.0,9520.0,9.16030534351145,81.5126050420168,50.15634135507138,-,10394.0,10362.4,0,False,0,-279812000.0,20661290.0,0.0,0.0,0.0,0,0,,,0,2026-01-18 23:12,2
90,194480,데브시스터즈,KOSDAQ,394197375000,기타,32500.0,15.0,0.0,8.0,4,9.0,36.0,30650.0,5.6923076923076925,68.90756302521008,49.021132869837906,-,31050.0,32061.0,1,False,0,-2965585000.0,1601618200.0,0.0,8.0,8.0,0,0,,,0,2026-01-18 23:12,2
