rank,code,name,market,mktcap,sector,close,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,dryup_count,rebreakout,foreign_consec_buy,foreign_net_5d,inst_net_5d,trigger_score,liq_score,vol_score,momentum_score,news_score,news_summary,keywords,news_count,scan_date,chunk
11,002240,고려제강,KOSPI,592650000000,기타,21950.0,23.0,25.0,8.0,7,9.0,72.0,20194.0,8.0,93.27731092436974,25.133899137177686,R,20547.5,19468.8,0,True,0,136221700.0,41853380.0,25.0,8.0,8.0,0,0,,,0,2026-01-19 09:20,1
12,271560,오리온,KOSPI,4471536529200,기타,113100.0,18.0,30.0,8.0,9,7.0,72.0,102300.0,9.549071618037134,18.48739495798319,18.502192369345597,R,106230.0,105050.0,0,True,1,4829362100.0,10454880000.0,30.0,8.0,8.0,0,0,,,0,2026-01-19 09:20,1
13,052690,한전기술,KOSPI,5094726000000,기타,133300.0,25.0,25.0,8.0,9,5.0,72.0,114400.0,14.17854463615904,75.63025210084034,40.995638091668575,R,99675.0,96076.0,0,True,1,107264902600.0,39414271300.0,25.0,8.0,8.0,0,0,,,0,2026-01-19 09:20,1
14,005380,현대차,KOSPI,98283727680000,기타,480000.0,25.0,25.0,8.0,4,9.0,71.0,441600.0,8.0,100.0,65.1949715873691,R,338975.0,301450.0,0,True,0,-1008822841500.0,107870679000.0,25.0,8.0,8.0,0,0,,,0,2026-01-19 09:20,1
15,090360,로보스타,KOSDAQ,847275000000,기타,86900.0,22.0,10.0,20.0,9,9.0,70.0,79948.0,8.0,34.45378151260504,20.216092831196082,B,76825.0,74926.0,7,False,2,20877839100.0,6439747200.0,10.0,20.0,20.0,0,0,,,0,2026-01-19 09:20,1
16,005850,에스엘,KOSPI,2433902448000,기타,52400.0,24.0,25.0,8.0,4,9.0,70.0,48208.0,8.0,100.0,39.71422282729179,R,44475.0,41381.0,0,True,0,-16689379000.0,16047841300.0,25.0,8.0,8.0,0,0,,,0,2026-01-19 09:20,1
17,047050,포스코인터내셔널,KOSPI,10995174250000,기타,62500.0,22.0,15.0,8.0,15,9.0,69.0,57500.0,8.0,75.63025210084034,54.00842597624938,R,51567.5,52727.0,0,True,6,75535619750.0,22222606650.0,15.0,8.0,8.0,0,0,,,0,2026-01-19 09:20,1
18,000270,기아,KOSPI,66175003161000,기타,169500.0,25.0,15.0,8.0,12,9.0,69.0,155940.0,8.0,100.0,59.00532452120656,R,130045.0,122466.0,0,True,3,72906439600.0,42147188500.0,15.0,8.0,8.0,0,0,,,0,2026-01-19 09:20,1
19,058610,에스피지,KOSDAQ,2497170736000,기타,112600.0,20.0,25.0,8.0,7,9.0,69.0,103592.0,8.0,83.19327731092437,19.382357398845823,R,85430.0,65827.0,0,True,0,10790421500.0,36773623700.0,25.0,8.0,8.0,0,0,,,0,2026-01-19 09:20,1
20,017670,SK텔레콤,KOSPI,12715571137600,기타,59200.0,21.0,25.0,8.0,9,5.0,68.0,52900.0,10.641891891891891,77.3109243697479,28.85596045642745,R,53815.0,53728.0,0,True,1,33990949600.0,39045946100.0,25.0,8.0,8.0,0,0,,,0,2026-01-19 09:20,1
